,Time,Number of Humans,Number of Zombies,Alert Level
0,105032.37237536005,1000.0,5.0,No Warning
1,105032.37237536005,999.9524001,5.02249892900225,No Warning
2,105032.37237536005,999.9045887361037,5.045098020290522,No Warning
3,105032.37237536005,999.8565649873643,5.067797710038623,No Warning
4,105032.37237536005,999.8083279290089,5.090598436231996,No Warning
5,105032.37237536005,999.7598766324246,5.1135006386744415,No Warning
6,105032.37237536005,999.7112101651439,5.136504758994866,No Warning
7,105032.37237536005,999.662327590831,5.159611240654046,No Warning
8,105032.37237536005,999.6132279692664,5.182820528951409,No Warning
9,105032.37237536005,999.5639103563337,5.206133071031831,No Warning
10,105118.77237536004,999.5143738040047,5.229549315892454,No Warning
11,105118.77237536004,999.4646173603246,5.253069714389516,No Warning
12,105118.77237536004,999.4146400693983,5.276694719245207,No Warning
13,105118.77237536004,999.3644409713752,5.300424785054533,No Warning
14,105118.77237536004,999.3140191024349,5.324260368292203,No Warning
15,105118.77237536004,999.2633734947728,5.348201927319532,No Warning
16,105118.77237536004,999.2125031765853,5.372249922391361,No Warning
17,105118.77237536004,999.1614071720549,5.396404815662994,No Warning
18,105118.77237536004,999.1100845013359,5.420667071197151,No Warning
19,105118.77237536004,999.0585341805397,5.445037154970944,No Warning
20,105118.77237536004,999.0067552217196,5.46951553488286,No Warning
21,105118.77237536004,998.9547466328562,5.494102680759772,No Warning
22,105118.77237536004,998.9025074178429,5.518799064363956,No Warning
23,105118.77237536004,998.8500365764705,5.543605159400138,No Warning
24,105118.77237536004,998.7973331044127,5.5685214415225435,No Warning
25,105118.77237536004,998.7443959932107,5.593548388341975,No Warning
26,105118.77237536004,998.6912242302586,5.618686479432901,No Warning
27,105118.77237536004,998.6378167987884,5.643936196340563,No Warning
28,105118.77237536004,998.5841726778548,5.669298022588102,No Warning
29,105205.17237536004,998.5302908423198,5.694772443683692,No Warning
30,105205.17237536004,998.4761702628382,5.720359947127705,No Warning
31,105205.17237536004,998.4218099058421,5.746061022419882,No Warning
32,105205.17237536004,998.3672087335257,5.771876161066519,No Warning
33,105205.17237536004,998.3123657038301,5.797805856587678,No Warning
34,105205.17237536004,998.257279770428,5.823850604524409,No Warning
35,105205.17237536004,998.2019498827085,5.850010902445989,No Warning
36,105205.17237536004,998.1463749857618,5.876287249957175,No Warning
37,105205.17237536004,998.0905540203636,5.902680148705481,No Warning
38,105205.17237536004,998.0344859229598,5.929190102388461,No Warning
39,105205.17237536004,997.9781696256513,5.955817616761013,No Warning
40,105205.17237536004,997.9216040561782,5.982563199642702,No Warning
41,105205.17237536004,997.8647881379046,6.009427360925095,No Warning
42,105205.17237536004,997.8077207898026,6.036410612579108,No Warning
43,105205.17237536004,997.7504009264371,6.063513468662381,No Warning
44,105205.17237536004,997.6928274579504,6.090736445326654,No Warning
45,105205.17237536004,997.634999290046,6.118080060825171,No Warning
46,105205.17237536004,997.5769153239733,6.145544835520088,No Warning
47,105291.57237536003,997.5185744565117,6.173131291889911,No Warning
48,105291.57237536003,997.4599755799552,6.200839954536935,No Warning
49,105291.57237536003,997.4011175820962,6.228671350194707,No Warning
50,105291.57237536003,997.34199934621,6.2566260077355,No Warning
51,105291.57237536003,997.2826197510387,6.2847044581778055,No Warning
52,105291.57237536003,997.2229776707759,6.312907234693839,No Warning
53,105291.57237536003,997.1630719750499,6.3412348726170595,No Warning
54,105291.57237536003,997.1029015289085,6.369687909449708,No Warning
55,105291.57237536003,997.0424651928031,6.398266884870357,No Warning
56,105291.57237536003,996.981761822572,6.426972340741474,No Warning
57,105291.57237536003,996.920790269425,6.455804821117005,No Warning
58,105291.57237536003,996.8595493799271,6.484764872249965,No Warning
59,105291.57237536003,996.7980379959826,6.51385304260005,No Warning
60,105291.57237536003,996.7362549548185,6.543069882841258,No Warning
61,105291.57237536003,996.6741990889692,6.57241594586953,No Warning
62,105291.57237536003,996.6118692262595,6.601891786810397,No Warning
63,105377.97237536003,996.5492641897888,6.631497963026648,No Warning
64,105377.97237536003,996.4863827979149,6.661235034126012,No Warning
65,105377.97237536003,996.4232238642375,6.691103561968846,No Warning
66,105377.97237536003,996.359786197582,6.721104110675847,No Warning
67,105377.97237536003,996.2960686019835,6.751237246635769,No Warning
68,105377.97237536003,996.2320698766699,6.781503538513162,No Warning
69,105377.97237536003,996.167788816046,6.811903557256112,No Warning
70,105377.97237536003,996.1032242096767,6.842437876104011,No Warning
71,105377.97237536003,996.0383748422707,6.873107070595323,No Warning
72,105377.97237536003,995.9732394936644,6.903911718575377,No Warning
73,105377.97237536003,995.907816938805,6.934852400204161,No Warning
74,105377.97237536003,995.8421059477339,6.965929697964141,No Warning
75,105377.97237536003,995.7761052855705,6.997144196668081,No Warning
76,105377.97237536003,995.7098137124952,7.028496483466887,No Warning
77,105377.97237536003,995.6432299837337,7.059987147857448,No Warning
78,105377.97237536003,995.5763528495391,7.091616781690508,No Warning
79,105464.37237536002,995.5091810551763,7.123385979178536,No Warning
80,105464.37237536002,995.4417133409047,7.155295336903613,No Warning
81,105464.37237536002,995.3739484419619,7.187345453825331,No Warning
82,105464.37237536002,995.3058850885468,7.219536931288702,No Warning
83,105464.37237536002,995.2375220058027,7.251870373032083,No Warning
84,105464.37237536002,995.1688579138008,7.284346385195107,No Warning
85,105464.37237536002,995.0998915275234,7.316965576326628,No Warning
86,105464.37237536002,995.0306215568468,7.349728557392676,No Warning
87,105464.37237536002,994.9610467065246,7.382635941784425,No Warning
88,105464.37237536002,994.8911656761711,7.4156883453261715,No Warning
89,105464.37237536002,994.820977160244,7.44888638628332,No Warning
90,105464.37237536002,994.7504798480275,7.482230685370384,No Warning
91,105464.37237536002,994.6796724236157,7.515721865758994,No Warning
92,105464.37237536002,994.6085535658956,7.549360553085919,No Warning
93,105550.77237536001,994.5371219485297,7.5831473754610945,No Warning
94,105550.77237536001,994.4653762399396,7.61708296347566,No Warning
95,105550.77237536001,994.3933151032883,7.651167950210014,No Warning
96,105550.77237536001,994.3209371964638,7.685402971241865,No Warning
97,105550.77237536001,994.2482411720616,7.719788664654309,No Warning
98,105550.77237536001,994.175225677368,7.754325671043896,No Warning
99,105550.77237536001,994.1018893543426,7.789014633528725,No Warning
100,105550.77237536001,994.0282308396013,7.8238561977565375,No Warning
101,105550.77237536001,993.9542487643995,7.858851011912817,No Warning
102,105550.77237536001,993.8799417546145,7.893999726728907,No Warning
103,105550.77237536001,993.8053084307285,7.929302995490129,No Warning
104,105550.77237536001,993.7303474078115,7.964761474043912,No Warning
105,105550.77237536001,993.6550572955038,8.000375820807928,No Warning
106,105550.77237536001,993.5794366979992,8.036146696778241,No Warning
107,105637.17237536001,993.5034842140276,8.072074765537451,No Warning
108,105637.17237536001,993.4271984368374,8.108160693262864,No Warning
109,105637.17237536001,993.3505779541788,8.144405148734648,No Warning
110,105637.17237536001,993.2736213482859,8.180808803344016,No Warning
111,105637.17237536001,993.19632719586,8.2173723311014,No Warning
112,105637.17237536001,993.118694068052,8.254096408644639,No Warning
113,105637.17237536001,993.040720530445,8.290981715247174,No Warning
114,105637.17237536001,992.962405143037,8.328028932826246,No Warning
115,105637.17237536001,992.8837464602237,8.365238745951103,No Warning
116,105637.17237536001,992.804743030781,8.402611841851208,No Warning
117,105637.17237536001,992.7253933978475,8.440148910424456,No Warning
118,105637.17237536001,992.6456960989075,8.4778506442454,No Warning
119,105723.57237536,992.5656496657732,8.51571773857347,No Warning
120,105723.57237536,992.4852526245675,8.553750891361206,No Warning
121,105723.57237536,992.4045034957063,8.591950803262502,No Warning
122,105723.57237536,992.3234007938818,8.630318177640838,No Warning
123,105723.57237536,992.241943028044,8.668853720577525,No Warning
124,105723.57237536,992.1601287013842,8.707558140879955,No Warning
125,105723.57237536,992.0779563113169,8.746432150089852,No Warning
126,105723.57237536,991.9954243494627,8.785476462491525,No Warning
127,105723.57237536,991.9125313016308,8.824691795120133,No Warning
128,105723.57237536,991.8292756478013,8.864078867769935,No Warning
129,105723.57237536,991.745655862108,8.903638403002564,No Warning
130,105723.57237536,991.6616704128207,8.943371126155283,No Warning
131,105809.97237536,991.5773177623279,8.983277765349262,No Warning
132,105809.97237536,991.492596367119,9.023359051497842,No Warning
133,105809.97237536,991.4075046777671,9.063615718314805,No Warning
134,105809.97237536,991.3220411389113,9.104048502322653,No Warning
135,105809.97237536,991.2362041892397,9.144658142860875,No Warning
136,105809.97237536,991.149992261471,9.18544538209422,No Warning
137,105809.97237536,991.0634037823377,9.22641096502098,No Warning
138,105809.97237536,990.9764371725682,9.267555639481253,No Warning
139,105809.97237536,990.8890908468699,9.308880156165229,No Warning
140,105809.97237536,990.8013632139107,9.350385268621451,No Warning
141,105809.97237536,990.7132526763024,9.392071733265102,No Warning
142,105809.97237536,990.624757630583,9.433940309386266,No Warning
143,105896.37237535999,990.5358764671986,9.475991759158205,No Warning
144,105896.37237535999,990.4466075704867,9.518226847645627,No Warning
145,105896.37237535999,990.3569493186582,9.56064634281295,No Warning
146,105896.37237535999,990.2669000837802,9.60325101553257,No Warning
147,105896.37237535999,990.1764582317584,9.646041639593124,No Warning
148,105896.37237535999,990.0856221223194,9.689018991707746,No Warning
149,105896.37237535999,989.9943901089937,9.732183851522327,No Warning
150,105896.37237535999,989.9027605390978,9.775537001623766,No Warning
151,105896.37237535999,989.810731753717,9.819079227548217,No Warning
152,105896.37237535999,989.7183020876879,9.862811317789337,No Warning
153,105896.37237535999,989.6254698695808,9.906734063806521,No Warning
154,105982.77237535999,989.5322334216825,9.950848260033144,No Warning
155,105982.77237535999,989.4385910599788,9.995154703884786,No Warning
156,105982.77237535999,989.3445410941371,10.039654195767458,No Warning
157,105982.77237535999,989.2500818274889,10.084347539085819,No Warning
158,105982.77237535999,989.1552115570126,10.129235540251388,No Warning
159,105982.77237535999,989.059928573316,10.174319008690755,No Warning
160,105982.77237535999,988.964231160619,10.219598756853774,No Warning
161,105982.77237535999,988.868117596736,10.265075600221754,No Warning
162,105982.77237535999,988.7715861530594,10.310750357315646,No Warning
163,105982.77237535999,988.674635094541,10.356623849704214,No Warning
164,106069.17237535998,988.5772626796761,10.402696902012206,No Warning
165,106069.17237535998,988.479467160485,10.448970341928511,No Warning
166,106069.17237535998,988.3812467824966,10.495445000214307,No Warning
167,106069.17237535998,988.2825997847309,10.5421217107112,No Warning
168,106069.17237535998,988.1835243996816,10.589001310349353,No Warning
169,106069.17237535998,988.0840188532992,10.636084639155609,No Warning
170,106069.17237535998,987.9840813649737,10.68337254026159,No Warning
171,106069.17237535998,987.8837101475174,10.730865859911804,No Warning
172,106069.17237535998,987.782903407148,10.778565447471722,No Warning
173,106069.17237535998,987.6816593434711,10.826472155435857,No Warning
174,106155.57237535997,987.5799761494636,10.87458683943582,No Warning
175,106155.57237535997,987.4778520114565,10.92291035824837,No Warning
176,106155.57237535997,987.3752851091177,10.97144357380345,No Warning
177,106155.57237535997,987.2722736154352,11.020187351192204,No Warning
178,106155.57237535997,987.1688156967,11.069142558674985,No Warning
179,106155.57237535997,987.0649095124894,11.118310067689348,No Warning
180,106155.57237535997,986.96055321565,11.167690752858029,No Warning
181,106155.57237535997,986.8557449522806,11.217285491996899,No Warning
182,106155.57237535997,986.7504828617159,11.267095166122918,No Warning
183,106155.57237535997,986.6447650765092,11.317120659462057,No Warning
184,106241.97237535997,986.538589722416,11.367362859457218,No Warning
185,106241.97237535997,986.4319549183767,11.41782265677612,No Warning
186,106241.97237535997,986.3248587765011,11.468500945319184,No Warning
187,106241.97237535997,986.2172994020501,11.519398622227385,No Warning
188,106241.97237535997,986.1092748934207,11.570516587890097,No Warning
189,106241.97237535997,986.0007833421282,11.621855745952914,No Warning
190,106241.97237535997,985.8918228327906,11.673417003325447,No Warning
191,106241.97237535997,985.7823914431114,11.725201270189109,No Warning
192,106241.97237535997,985.6724872438635,11.777209460004872,No Warning
193,106328.37237535996,985.5621082988731,11.829442489521014,No Warning
194,106328.37237535996,985.4512526650026,11.881901278780823,No Warning
195,106328.37237535996,985.3399183921348,11.934586751130304,No Warning
196,106328.37237535996,985.2281035231566,11.987499833225844,No Warning
197,106328.37237535996,985.1158060939429,12.040641455041866,No Warning
